TotalAmount;BikePurchase;CustomerID;Country;CountryRegionCode;Group;PersonID;PersonType;DateFirstPurchase;yearpurchase;monthpurchase;daypurchase;BirthDate;Age;MaritalStatus;YearlyIncome;Gender;TotalChildren;Education;Occupation;HomeOwnerFlag;NumberCarsOwned
94,19;0;11074;Australia;AU;Pacific;7914;IN;2003-09-24 00:00:00.000;2003;9;24;1956-08-28 00:00:00.000;65;S;50001-75000;M;2;High School;Skilled Manual;1;2
913,27;0;11078;Canada;CA;North America;15039;IN;2003-08-19 00:00:00.000;2003;8;19;1974-01-10 00:00:00.000;47;S;25001-50000;F;0;High School;Professional;0;2
57,95;0;11079;Australia;AU;Pacific;20058;IN;2003-09-16 00:00:00.000;2003;9;16;1959-03-11 00:00:00.000;62;S;greater than 100000;M;0;Graduate Degree;Management;1;2
104,26;0;11081;Southwest;US;North America;10369;IN;2003-08-16 00:00:00.000;2003;8;16;1966-07-24 00:00:00.000;55;M;greater than 100000;F;2;Bachelors ;Management;1;3
128,96;0;11085;Southwest;US;North America;12219;IN;2004-06-08 00:00:00.000;2004;6;8;1957-07-19 00:00:00.000;64;S;50001-75000;F;2;High School;Professional;0;2
153,45;0;11086;Southwest;US;North America;17979;IN;2004-01-03 00:00:00.000;2004;1;3;1957-12-23 00:00:00.000;64;M;50001-75000;M;2;Partial College;Professional;1;0
200,28;0;11087;Southwest;US;North America;11871;IN;2003-08-29 00:00:00.000;2003;8;29;1957-10-03 00:00:00.000;64;M;50001-75000;F;3;Partial College;Professional;0;0
1189,33;0;11091;Canada;CA;North America;4515;IN;2003-08-02 00:00:00.000;2003;8;2;1957-04-04 00:00:00.000;64;M;75001-100000;M;2;Partial College;Professional;1;1
235,89;0;11094;Australia;AU;Pacific;3504;IN;2003-10-09 00:00:00.000;2003;10;9;1962-04-01 00:00:00.000;59;S;50001-75000;M;1;Partial College;Skilled Manual;0;1
88,96;0;11098;Australia;AU;Pacific;5986;IN;2003-08-15 00:00:00.000;2003;8;15;1961-05-01 00:00:00.000;60;S;50001-75000;F;1;Partial College;Skilled Manual;0;1
102,91;0;11102;Australia;AU;Pacific;9866;IN;2004-01-17 00:00:00.000;2004;1;17;1965-04-21 00:00:00.000;56;S;75001-100000;F;5;Bachelors ;Professional;1;4
109,88;0;11113;Australia;AU;Pacific;14592;IN;2003-08-05 00:00:00.000;2003;8;5;1962-02-21 00:00:00.000;59;M;50001-75000;M;5;Bachelors ;Professional;1;2
122,89;0;11114;Australia;AU;Pacific;18519;IN;2003-09-19 00:00:00.000;2003;9;19;1962-05-28 00:00:00.000;59;S;50001-75000;F;5;Partial College;Skilled Manual;1;2
113,71;0;11115;Australia;AU;Pacific;4765;IN;2003-08-14 00:00:00.000;2003;8;14;1962-02-12 00:00:00.000;59;M;50001-75000;M;5;Partial College;Skilled Manual;1;2
148,7;0;11116;Australia;AU;Pacific;14638;IN;2003-09-16 00:00:00.000;2003;9;16;1962-10-07 00:00:00.000;59;M;50001-75000;M;5;Partial College;Skilled Manual;1;2
123,8;0;11118;Australia;AU;Pacific;4788;IN;2004-01-11 00:00:00.000;2004;1;11;1957-07-03 00:00:00.000;64;S;75001-100000;M;1;Partial College;Skilled Manual;0;1
85,22;0;11119;Australia;AU;Pacific;14595;IN;2003-08-07 00:00:00.000;2003;8;7;1935-04-10 00:00:00.000;86;S;25001-50000;M;2;Partial College;Clerical;0;2
58,16;0;11121;Australia;AU;Pacific;19001;IN;2003-12-26 00:00:00.000;2003;12;26;1960-11-18 00:00:00.000;61;M;50001-75000;M;5;Partial College;Skilled Manual;1;3
42,93;0;11122;Australia;AU;Pacific;19748;IN;2003-08-25 00:00:00.000;2003;8;25;1960-04-02 00:00:00.000;61;M;50001-75000;M;5;Partial College;Skilled Manual;1;3
149,84;0;11123;Australia;AU;Pacific;19185;IN;2003-10-19 00:00:00.000;2003;10;19;1960-06-20 00:00:00.000;61;M;50001-75000;M;5;Partial College;Skilled Manual;1;3
79,69;0;11125;Australia;AU;Pacific;17820;IN;2003-08-04 00:00:00.000;2003;8;4;1956-04-08 00:00:00.000;65;S;50001-75000;F;1;Partial College;Skilled Manual;1;1
43,98;0;11127;Southwest;US;North America;9367;IN;2003-10-12 00:00:00.000;2003;10;12;1975-10-21 00:00:00.000;46;M;25001-50000;F;0;High School;Skilled Manual;1;1
143,94;0;11128;Northwest;US;North America;12533;IN;2003-12-21 00:00:00.000;2003;12;21;1975-12-05 00:00:00.000;46;M;25001-50000;F;0;High School;Skilled Manual;1;1
37,29;0;11130;Northwest;US;North America;6801;IN;2004-06-11 00:00:00.000;2004;6;11;1980-01-06 00:00:00.000;41;M;25001-50000;F;0;High School;Skilled Manual;1;2
165,91;0;11131;Canada;CA;North America;3003;IN;2004-04-20 00:00:00.000;2004;4;20;1980-03-12 00:00:00.000;41;M;25001-50000;F;0;High School;Skilled Manual;0;2
71,96;0;11133;Northwest;US;North America;7681;IN;2004-07-02 00:00:00.000;2004;7;2;1980-09-08 00:00:00.000;41;S;25001-50000;F;0;Partial High School;Clerical;0;2
202,57;0;11137;Northwest;US;North America;11395;IN;2004-02-01 00:00:00.000;2004;2;1;1978-07-20 00:00:00.000;43;M;25001-50000;F;0;High School;Skilled Manual;1;2
78,97;0;11138;Southwest;US;North America;11623;IN;2004-03-22 00:00:00.000;2004;3;22;1978-09-15 00:00:00.000;43;M;25001-50000;F;0;High School;Skilled Manual;0;2
83,97;0;11139;Australia;AU;Pacific;14017;IN;2004-03-17 00:00:00.000;2004;3;17;1938-11-09 00:00:00.000;83;S;25001-50000;F;2;Partial College;Clerical;0;2
39,99;0;11140;Southwest;US;North America;13623;IN;2003-09-20 00:00:00.000;2003;9;20;1977-02-11 00:00:00.000;44;S;25001-50000;M;0;Partial High School;Clerical;0;2
113,96;0;11141;Southwest;US;North America;19930;IN;2003-11-17 00:00:00.000;2003;11;17;1977-06-21 00:00:00.000;44;M;25001-50000;F;0;High School;Skilled Manual;0;2
980,77;0;11142;Canada;CA;North America;13742;IN;2003-08-17 00:00:00.000;2003;8;17;1977-08-14 00:00:00.000;44;S;25001-50000;M;0;High School;Skilled Manual;0;2
48,56;0;11143;Southwest;US;North America;6401;IN;2003-12-17 00:00:00.000;2003;12;17;1977-02-04 00:00:00.000;44;M;25001-50000;M;0;High School;Skilled Manual;1;2
112,93;0;11146;Australia;AU;Pacific;3532;IN;2003-08-09 00:00:00.000;2003;8;9;1939-08-26 00:00:00.000;82;S;25001-50000;F;2;Bachelors ;Management;1;2
126,24;0;11148;Australia;AU;Pacific;11820;IN;2003-09-08 00:00:00.000;2003;9;8;1941-08-16 00:00:00.000;80;M;25001-50000;M;2;Bachelors ;Management;1;2
41,26;0;11149;Australia;AU;Pacific;6747;IN;2003-12-06 00:00:00.000;2003;12;6;1941-04-20 00:00:00.000;80;M;25001-50000;M;2;Bachelors ;Management;1;2
192,42;0;11150;Australia;AU;Pacific;16842;IN;2003-09-28 00:00:00.000;2003;9;28;1941-03-15 00:00:00.000;80;S;25001-50000;M;2;Bachelors ;Management;1;2
109,77;0;11153;Northwest;US;North America;8391;IN;2003-09-30 00:00:00.000;2003;9;30;1976-06-23 00:00:00.000;45;M;25001-50000;F;0;High School;Skilled Manual;1;2
41,28;0;11157;Northwest;US;North America;13038;IN;2004-01-25 00:00:00.000;2004;1;25;1975-06-11 00:00:00.000;46;M;25001-50000;F;0;High School;Skilled Manual;1;2
48,56;0;11159;Southwest;US;North America;19259;IN;2004-03-11 00:00:00.000;2004;3;11;1975-09-17 00:00:00.000;46;S;25001-50000;F;0;High School;Skilled Manual;0;2
93,95;0;11161;Southwest;US;North America;12985;IN;2003-12-03 00:00:00.000;2003;12;3;1974-04-22 00:00:00.000;47;S;25001-50000;F;0;Partial College;Skilled Manual;0;1
46,27;0;11163;Southwest;US;North America;5872;IN;2003-11-02 00:00:00.000;2003;11;2;1974-12-20 00:00:00.000;47;M;25001-50000;M;0;Partial College;Skilled Manual;1;1
144,76;0;11164;Southwest;US;North America;14151;IN;2003-10-29 00:00:00.000;2003;10;29;1974-05-05 00:00:00.000;47;S;25001-50000;M;0;Partial College;Skilled Manual;0;1
102,49;0;11165;Southwest;US;North America;7251;IN;2003-11-26 00:00:00.000;2003;11;26;1973-07-18 00:00:00.000;48;M;50001-75000;F;0;Partial College;Skilled Manual;0;1
87,96;0;11166;Northwest;US;North America;12441;IN;2004-04-16 00:00:00.000;2004;4;16;1972-04-24 00:00:00.000;49;S;50001-75000;F;0;Partial College;Skilled Manual;0;2
81,26;0;11169;Southwest;US;North America;14713;IN;2003-11-27 00:00:00.000;2003;11;27;1968-06-22 00:00:00.000;53;M;75001-100000;M;4;Bachelors ;Management;1;1
157,23;0;11170;Northwest;US;North America;3164;IN;2004-02-27 00:00:00.000;2004;2;27;1968-02-05 00:00:00.000;53;M;75001-100000;F;4;Bachelors ;Management;1;1
128,94;0;11172;Northwest;US;North America;10282;IN;2003-11-04 00:00:00.000;2003;11;4;1967-11-21 00:00:00.000;54;M;75001-100000;F;1;Bachelors ;Management;1;2
102,49;0;11173;Northwest;US;North America;12474;IN;2003-09-03 00:00:00.000;2003;9;3;1967-09-01 00:00:00.000;54;S;greater than 100000;F;0;Graduate Degree;Management;0;4
48,56;0;11174;Southwest;US;North America;19012;IN;2004-01-14 00:00:00.000;2004;1;14;1967-07-13 00:00:00.000;54;M;greater than 100000;M;0;Graduate Degree;Management;1;0
1320,01;0;11176;Canada;CA;North America;15994;IN;2003-08-06 00:00:00.000;2003;8;6;1968-01-25 00:00:00.000;53;M;75001-100000;M;4;Bachelors ;Management;1;1
135,25;0;11177;Southwest;US;North America;5651;IN;2003-09-30 00:00:00.000;2003;9;30;1942-07-04 00:00:00.000;79;M;greater than 100000;M;2;Graduate Degree;Management;1;2
144,76;0;11178;Southwest;US;North America;17696;IN;2003-08-25 00:00:00.000;2003;8;25;1943-08-24 00:00:00.000;78;M;75001-100000;M;2;Graduate Degree;Management;1;3
125,44;0;11179;Southwest;US;North America;16169;IN;2003-09-13 00:00:00.000;2003;9;13;1943-06-14 00:00:00.000;78;M;greater than 100000;F;2;Graduate Degree;Management;1;3
138,45;0;11180;Southwest;US;North America;20564;IN;2003-09-18 00:00:00.000;2003;9;18;1943-01-02 00:00:00.000;78;M;greater than 100000;F;1;Bachelors ;Management;1;4
41,28;0;11181;Southwest;US;North America;4935;IN;2003-11-08 00:00:00.000;2003;11;8;1943-08-08 00:00:00.000;78;M;greater than 100000;M;2;Graduate Degree;Management;1;2
81,26;0;11182;Northwest;US;North America;3087;IN;2004-02-29 00:00:00.000;2004;2;29;1944-08-25 00:00:00.000;77;S;50001-75000;F;4;Bachelors ;Management;1;2
46,27;0;11183;Southwest;US;North America;11425;IN;2003-11-01 00:00:00.000;2003;11;1;1944-07-15 00:00:00.000;77;S;50001-75000;F;4;Bachelors ;Management;1;2
68,25;0;11184;Southwest;US;North America;18783;IN;2004-02-11 00:00:00.000;2004;2;11;1944-11-16 00:00:00.000;77;S;50001-75000;F;4;Bachelors ;Management;1;2
1616,31;0;11185;Canada;CA;North America;12569;IN;2003-08-25 00:00:00.000;2003;8;25;1944-10-08 00:00:00.000;77;S;50001-75000;F;4;Bachelors ;Management;1;2
41,28;0;11186;Southwest;US;North America;12608;IN;2004-04-20 00:00:00.000;2004;4;20;1944-05-21 00:00:00.000;77;S;50001-75000;F;4;Bachelors ;Management;1;2
107,48;0;11187;Northwest;US;North America;20457;IN;2003-10-05 00:00:00.000;2003;10;5;1944-02-22 00:00:00.000;77;M;50001-75000;F;4;Graduate Degree;Management;1;2
81,26;0;11188;Southwest;US;North America;9002;IN;2004-05-04 00:00:00.000;2004;5;4;1944-09-06 00:00:00.000;77;M;50001-75000;F;4;Graduate Degree;Management;0;2
46,27;0;11190;Southwest;US;North America;13265;IN;2004-02-29 00:00:00.000;2004;2;29;1944-06-22 00:00:00.000;77;M;50001-75000;M;5;Bachelors ;Management;1;2
113,96;0;11192;Northwest;US;North America;17599;IN;2003-12-25 00:00:00.000;2003;12;25;1945-09-13 00:00:00.000;76;M;50001-75000;M;4;Bachelors ;Management;1;2
41,28;0;11193;Northwest;US;North America;14519;IN;2003-08-29 00:00:00.000;2003;8;29;1945-02-13 00:00:00.000;76;M;50001-75000;M;4;Bachelors ;Management;1;2
105,75;0;11194;Southwest;US;North America;7727;IN;2003-09-14 00:00:00.000;2003;9;14;1945-06-10 00:00:00.000;76;M;50001-75000;F;4;Bachelors ;Management;1;2
105,75;0;11195;Northwest;US;North America;19140;IN;2003-10-16 00:00:00.000;2003;10;16;1946-02-10 00:00:00.000;75;M;50001-75000;F;5;Bachelors ;Management;1;3
162,28;0;11196;Northwest;US;North America;2800;IN;2003-09-04 00:00:00.000;2003;9;4;1946-06-07 00:00:00.000;75;M;50001-75000;M;5;Bachelors ;Management;1;3
207,56;0;11197;Northwest;US;North America;9000;IN;2003-11-03 00:00:00.000;2003;11;3;1946-06-18 00:00:00.000;75;M;50001-75000;F;3;Bachelors ;Management;0;1
98,47;0;11198;Southwest;US;North America;8052;IN;2003-08-09 00:00:00.000;2003;8;9;1946-11-26 00:00:00.000;75;S;50001-75000;F;4;Bachelors ;Management;1;1
131,75;0;11199;Southwest;US;North America;7729;IN;2003-09-19 00:00:00.000;2003;9;19;1946-11-06 00:00:00.000;75;M;50001-75000;F;4;Bachelors ;Management;1;1
1463,38;0;11200;Canada;CA;North America;5409;IN;2003-08-11 00:00:00.000;2003;8;11;1947-11-22 00:00:00.000;74;M;50001-75000;M;4;Bachelors ;Management;1;1
180,94;0;11201;Southwest;US;North America;3054;IN;2004-01-02 00:00:00.000;2004;1;2;1947-08-18 00:00:00.000;74;M;50001-75000;F;4;Bachelors ;Management;1;1
73,98;0;11202;Southwest;US;North America;7092;IN;2004-03-18 00:00:00.000;2004;3;18;1947-08-26 00:00:00.000;74;M;75001-100000;F;5;Bachelors ;Management;0;2
801,77;0;11203;Canada;CA;North America;5463;IN;2003-08-24 00:00:00.000;2003;8;24;1948-08-21 00:00:00.000;73;M;25001-50000;M;2;High School;Professional;1;2
77,27;0;11204;Northwest;US;North America;20019;IN;2004-02-10 00:00:00.000;2004;2;10;1948-06-01 00:00:00.000;73;M;25001-50000;F;2;High School;Professional;1;2
37,29;0;11205;Northwest;US;North America;18028;IN;2004-01-28 00:00:00.000;2004;1;28;1948-07-24 00:00:00.000;73;M;25001-50000;F;2;High School;Professional;1;2
77,27;0;11206;Northwest;US;North America;13604;IN;2003-11-12 00:00:00.000;2003;11;12;1948-09-24 00:00:00.000;73;M;50001-75000;M;2;Partial College;Professional;1;1
77,27;0;11207;Northwest;US;North America;8512;IN;2003-08-04 00:00:00.000;2003;8;4;1948-07-19 00:00:00.000;73;S;50001-75000;F;2;Partial College;Professional;1;1
134,23;0;11208;Southwest;US;North America;3225;IN;2003-09-05 00:00:00.000;2003;9;5;1948-02-04 00:00:00.000;73;M;50001-75000;F;2;Bachelors ;Management;1;0
37,29;0;11209;Southwest;US;North America;9318;IN;2003-09-26 00:00:00.000;2003;9;26;1948-01-13 00:00:00.000;73;M;50001-75000;F;2;Bachelors ;Management;1;0
70,76;0;11210;Southwest;US;North America;13628;IN;2003-11-07 00:00:00.000;2003;11;7;1948-06-08 00:00:00.000;73;M;50001-75000;M;4;Partial College;Professional;1;2
793,55;0;11211;Canada;CA;North America;12549;IN;2003-08-05 00:00:00.000;2003;8;5;1949-10-12 00:00:00.000;72;M;25001-50000;F;2;High School;Professional;1;2
827,19;0;11212;Canada;CA;North America;9700;IN;2003-08-03 00:00:00.000;2003;8;3;1949-11-05 00:00:00.000;72;M;25001-50000;F;2;High School;Professional;1;2
77,27;0;11213;Northwest;US;North America;3074;IN;2003-09-29 00:00:00.000;2003;9;29;1949-05-14 00:00:00.000;72;S;50001-75000;F;2;Partial College;Professional;1;2
162,28;0;11214;Northwest;US;North America;4847;IN;2004-02-15 00:00:00.000;2004;2;15;1949-11-07 00:00:00.000;72;S;50001-75000;M;2;Partial College;Professional;1;2
1155,52;0;11215;Canada;CA;North America;7440;IN;2003-08-19 00:00:00.000;2003;8;19;1950-06-21 00:00:00.000;71;M;25001-50000;F;2;Partial High School;Skilled Manual;1;2
39,58;0;11218;Northwest;US;North America;11750;IN;2003-09-01 00:00:00.000;2003;9;1;1950-09-11 00:00:00.000;71;S;50001-75000;F;2;Partial College;Professional;0;2
39,58;0;11219;Northwest;US;North America;15531;IN;2004-05-01 00:00:00.000;2004;5;1;1950-12-02 00:00:00.000;71;M;50001-75000;M;2;High School;Professional;1;2
50,23;0;11220;Southwest;US;North America;2477;IN;2003-09-15 00:00:00.000;2003;9;15;1950-02-23 00:00:00.000;71;M;50001-75000;F;2;Partial College;Professional;1;1
46,27;0;11221;Southwest;US;North America;5941;IN;2003-10-09 00:00:00.000;2003;10;9;1950-06-10 00:00:00.000;71;M;50001-75000;M;4;Partial College;Professional;1;1
207,96;0;11222;Southwest;US;North America;2773;IN;2004-05-04 00:00:00.000;2004;5;4;1950-08-17 00:00:00.000;71;M;75001-100000;F;3;Bachelors ;Management;1;1
1205,38;0;11223;Canada;CA;North America;3197;IN;2003-08-02 00:00:00.000;2003;8;2;1951-09-16 00:00:00.000;70;S;50001-75000;F;2;High School;Professional;1;2
73,25;0;11225;Northwest;US;North America;12350;IN;2003-12-24 00:00:00.000;2003;12;24;1951-02-16 00:00:00.000;70;M;50001-75000;F;2;Partial College;Professional;1;1
37,29;0;11226;Northwest;US;North America;2873;IN;2003-08-25 00:00:00.000;2003;8;25;1951-09-27 00:00:00.000;70;M;50001-75000;F;2;Partial College;Professional;1;1
77,27;0;11228;Southwest;US;North America;12412;IN;2004-04-27 00:00:00.000;2004;4;27;1951-04-19 00:00:00.000;70;M;50001-75000;F;2;Partial College;Professional;1;2
81,26;0;11229;Southwest;US;North America;15841;IN;2004-01-28 00:00:00.000;2004;1;28;1951-12-03 00:00:00.000;70;S;50001-75000;M;4;Partial College;Professional;1;1
54,22;0;11230;Southwest;US;North America;9612;IN;2004-01-17 00:00:00.000;2004;1;17;1951-04-03 00:00:00.000;70;M;50001-75000;F;4;Partial College;Professional;0;2
64,26;0;11231;Northwest;US;North America;17885;IN;2003-08-14 00:00:00.000;2003;8;14;1952-11-14 00:00:00.000;69;M;50001-75000;M;2;High School;Professional;1;2
39,58;0;11232;Northwest;US;North America;3210;IN;2004-03-23 00:00:00.000;2004;3;23;1952-09-27 00:00:00.000;69;M;50001-75000;F;3;High School;Professional;0;2
179,43;0;11233;Southwest;US;North America;18194;IN;2003-08-12 00:00:00.000;2003;8;12;1952-09-09 00:00:00.000;69;M;50001-75000;M;4;Partial College;Professional;1;2
76,27;0;11234;Southwest;US;North America;3686;IN;2003-08-12 00:00:00.000;2003;8;12;1952-11-19 00:00:00.000;69;S;50001-75000;F;4;Partial College;Professional;1;2
138,45;0;11235;Northwest;US;North America;15802;IN;2004-01-05 00:00:00.000;2004;1;5;1952-02-08 00:00:00.000;69;M;50001-75000;M;4;Partial College;Professional;1;2
113,96;0;11236;Northwest;US;North America;13521;IN;2004-04-05 00:00:00.000;2004;4;5;1952-03-05 00:00:00.000;69;S;50001-75000;M;5;Partial College;Professional;1;2
38,47;0;11248;France;FR;Europe;12887;IN;2004-01-15 00:00:00.000;2004;1;15;1955-03-26 00:00:00.000;66;M;greater than 100000;M;3;Partial College;Professional;1;4
696,61;0;11253;Canada;CA;North America;17012;IN;2003-09-02 00:00:00.000;2003;9;2;1933-02-28 00:00:00.000;88;M;50001-75000;M;2;Graduate Degree;Management;1;2
203,92;0;11254;Northwest;US;North America;15887;IN;2004-05-26 00:00:00.000;2004;5;26;1933-03-03 00:00:00.000;88;M;50001-75000;M;4;Graduate Degree;Management;1;2
113,96;0;11255;Northwest;US;North America;13436;IN;2003-08-27 00:00:00.000;2003;8;27;1933-04-04 00:00:00.000;88;M;50001-75000;M;4;Graduate Degree;Management;1;2
81,26;0;11256;Northwest;US;North America;10472;IN;2003-10-17 00:00:00.000;2003;10;17;1933-09-20 00:00:00.000;88;M;50001-75000;F;4;Graduate Degree;Management;1;2
49,23;0;11258;Southwest;US;North America;4422;IN;2003-11-22 00:00:00.000;2003;11;22;1933-06-28 00:00:00.000;88;M;greater than 100000;M;1;Graduate Degree;Management;1;4
81,26;0;11260;Southwest;US;North America;7966;IN;2003-08-09 00:00:00.000;2003;8;9;1965-04-12 00:00:00.000;56;M;greater than 100000;F;2;Bachelors ;Management;1;3
1126,82;0;11262;Canada;CA;North America;20532;IN;2003-08-31 00:00:00.000;2003;8;31;1964-05-04 00:00:00.000;57;M;75001-100000;F;4;Bachelors ;Management;1;0
98,25;0;11268;Southwest;US;North America;9972;IN;2003-11-30 00:00:00.000;2003;11;30;1964-05-03 00:00:00.000;57;M;greater than 100000;F;2;Graduate Degree;Management;1;2
42,28;0;11269;Southwest;US;North America;6565;IN;2004-02-23 00:00:00.000;2004;2;23;1964-10-13 00:00:00.000;57;M;greater than 100000;M;2;Graduate Degree;Management;1;2
273,23;0;11273;Southwest;US;North America;5982;IN;2003-11-15 00:00:00.000;2003;11;15;1956-10-01 00:00:00.000;65;M;75001-100000;M;2;Partial College;Professional;1;0
988,32;0;11276;Canada;CA;North America;15449;IN;2003-08-02 00:00:00.000;2003;8;2;1963-09-19 00:00:00.000;58;M;75001-100000;F;4;Partial College;Professional;1;2
1434,99;0;11277;Canada;CA;North America;4855;IN;2003-08-06 00:00:00.000;2003;8;6;1963-06-10 00:00:00.000;58;M;75001-100000;M;4;Partial College;Professional;1;2
44,57;0;11279;Northwest;US;North America;2996;IN;2003-09-04 00:00:00.000;2003;9;4;1963-09-12 00:00:00.000;58;M;75001-100000;F;0;Partial College;Professional;1;1
77,27;0;11280;Northwest;US;North America;15746;IN;2004-01-02 00:00:00.000;2004;1;2;1963-08-21 00:00:00.000;58;M;75001-100000;M;0;Partial College;Professional;1;1
44,57;0;11283;Southwest;US;North America;10416;IN;2003-11-30 00:00:00.000;2003;11;30;1962-10-26 00:00:00.000;59;M;greater than 100000;M;1;Bachelors ;Management;1;2
55,48;0;11284;Southwest;US;North America;13914;IN;2003-08-10 00:00:00.000;2003;8;10;1962-03-27 00:00:00.000;59;M;greater than 100000;F;1;Bachelors ;Management;1;2
127,76;0;11285;Southwest;US;North America;3992;IN;2004-01-28 00:00:00.000;2004;1;28;1962-03-19 00:00:00.000;59;M;greater than 100000;M;1;Partial College;Professional;0;4
1167,07;0;11287;Canada;CA;North America;15978;IN;2003-08-02 00:00:00.000;2003;8;2;1961-01-16 00:00:00.000;60;M;50001-75000;M;5;Partial College;Professional;0;3
77,27;0;11288;Southwest;US;North America;7340;IN;2003-09-06 00:00:00.000;2003;9;6;1961-09-16 00:00:00.000;60;M;greater than 100000;F;1;Bachelors ;Management;1;3
85,22;0;11293;Northwest;US;North America;5643;IN;2003-08-28 00:00:00.000;2003;8;28;1955-05-27 00:00:00.000;66;S;50001-75000;M;2;High School;Professional;0;2
42,28;0;11294;Northwest;US;North America;4480;IN;2004-03-28 00:00:00.000;2004;3;28;1955-09-03 00:00:00.000;66;M;50001-75000;M;2;High School;Professional;0;2
1500,52;0;11300;Canada;CA;North America;13098;IN;2003-08-04 00:00:00.000;2003;8;4;1960-03-03 00:00:00.000;61;M;75001-100000;M;5;Partial College;Professional;0;3
131,26;0;11301;Northwest;US;North America;17545;IN;2003-12-11 00:00:00.000;2003;12;11;1960-06-09 00:00:00.000;61;M;75001-100000;M;5;Partial College;Professional;1;4
122,21;0;11304;Northwest;US;North America;11060;IN;2003-09-21 00:00:00.000;2003;9;21;1960-03-17 00:00:00.000;61;M;75001-100000;F;0;Partial College;Professional;1;0
77,27;0;11305;Southwest;US;North America;15658;IN;2003-09-26 00:00:00.000;2003;9;26;1960-06-19 00:00:00.000;61;M;greater than 100000;M;3;Partial College;Professional;0;4
42,28;0;11306;Southwest;US;North America;6569;IN;2004-01-01 00:00:00.000;2004;1;1;1960-06-22 00:00:00.000;61;M;greater than 100000;M;3;Partial College;Professional;0;4
94,26;0;11308;Northwest;US;North America;13892;IN;2004-03-10 00:00:00.000;2004;3;10;1954-03-05 00:00:00.000;67;M;50001-75000;M;2;High School;Professional;0;2
42,28;0;11309;Northwest;US;North America;11837;IN;2004-01-10 00:00:00.000;2004;1;10;1954-06-12 00:00:00.000;67;S;50001-75000;F;2;High School;Professional;1;2
